district,crime,total22,total21,update
Mission,HUMAN TRAFFICKING - INV SERV,0,0,2022-10-23
Mission,HUMAN TRAFFICKING - SEX ACT,1,3,2022-10-23
Mission,LARCENY THEFT,2635,2201,2022-10-23
Mission,MOTOR VEHICLE THEFT,759,707,2022-10-23
Mission,RAPE,25,25,2022-10-23
Mission,ROBBERY,340,281,2022-10-23
Mission,TOTAL,4756,4394,2022-10-23
Northern,ARSON,54,33,2022-10-23
Northern,ASSAULT,254,197,2022-10-23
Northern,BURGLARY,762,1112,2022-10-23
Northern,HOMICIDE,6,5,2022-10-23
Northern,HUMAN TRAFFICKING - INV SERV,0,0,2022-10-23
Northern,HUMAN TRAFFICKING - SEX ACT,1,3,2022-10-23
Northern,LARCENY THEFT,5016,4436,2022-10-23
Northern,MOTOR VEHICLE THEFT,554,543,2022-10-23
Northern,RAPE,28,21,2022-10-23
Northern,ROBBERY,239,276,2022-10-23
Northern,TOTAL,6914,6626,2022-10-23
Park,ARSON,6,8,2022-10-23
Park,ASSAULT,54,59,2022-10-23
Park,BURGLARY,367,405,2022-10-23
Park,HOMICIDE,2,3,2022-10-23
Park,HUMAN TRAFFICKING - INV SERV,0,0,2022-10-23
Park,HUMAN TRAFFICKING - SEX ACT,0,1,2022-10-23
Park,LARCENY THEFT,1333,1435,2022-10-23
Park,MOTOR VEHICLE THEFT,252,240,2022-10-23
Park,RAPE,10,8,2022-10-23
Park,ROBBERY,42,40,2022-10-23
Park,TOTAL,2066,2199,2022-10-23
Richmond,ARSON,6,21,2022-10-23
Richmond,ASSAULT,68,65,2022-10-23
Richmond,BURGLARY,357,558,2022-10-23
Richmond,HOMICIDE,0,0,2022-10-23
Richmond,HUMAN TRAFFICKING - INV SERV,0,0,2022-10-23
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2022-10-23
Richmond,LARCENY THEFT,2652,2450,2022-10-23
Richmond,MOTOR VEHICLE THEFT,290,301,2022-10-23
Richmond,RAPE,7,7,2022-10-23
Richmond,ROBBERY,69,96,2022-10-23
Richmond,TOTAL,3449,3498,2022-10-23
Southern,ARSON,31,32,2022-10-23
Southern,ASSAULT,282,224,2022-10-23
Southern,BURGLARY,579,698,2022-10-23
Southern,HOMICIDE,2,5,2022-10-23
Southern,HUMAN TRAFFICKING - INV SERV,0,0,2022-10-23
Southern,HUMAN TRAFFICKING - SEX ACT,2,3,2022-10-23
Southern,LARCENY THEFT,3351,2403,2022-10-23
Southern,MOTOR VEHICLE THEFT,466,446,2022-10-23
Southern,RAPE,31,27,2022-10-23
Southern,ROBBERY,220,184,2022-10-23
Southern,TOTAL,4964,4022,2022-10-23
Taraval,ARSON,10,13,2022-10-23
Taraval,ASSAULT,83,81,2022-10-23
Taraval,BURGLARY,429,544,2022-10-23
Taraval,HOMICIDE,2,0,2022-10-23
Taraval,HUMAN TRAFFICKING - INV SERV,0,0,2022-10-23
Taraval,HUMAN TRAFFICKING - SEX ACT,1,3,2022-10-23
Taraval,LARCENY THEFT,2295,1681,2022-10-23
Taraval,MOTOR VEHICLE THEFT,510,486,2022-10-23
Taraval,RAPE,5,10,2022-10-23
Taraval,ROBBERY,103,102,2022-10-23
Taraval,TOTAL,3438,2920,2022-10-23
Tenderloin,ARSON,22,16,2022-10-23
Tenderloin,ASSAULT,405,357,2022-10-23
Tenderloin,BURGLARY,164,247,2022-10-23
Tenderloin,HOMICIDE,5,10,2022-10-23
Tenderloin,HUMAN TRAFFICKING - INV SERV,0,0,2022-10-23
Tenderloin,HUMAN TRAFFICKING - SEX ACT,3,5,2022-10-23
Tenderloin,LARCENY THEFT,1411,963,2022-10-23
Tenderloin,MOTOR VEHICLE THEFT,172,192,2022-10-23
Tenderloin,RAPE,27,24,2022-10-23
Tenderloin,ROBBERY,288,232,2022-10-23
Tenderloin,TOTAL,2497,2046,2022-10-23
